manufacture_style,Code,product_name,大分類,中分類,小分類,Remark
2.00E+12,13020922,[i]Care iPad Air 11 兩年_2414,Care,iCPP,[i]Care iPad Air 5/M2-M3 兩年期_2414,0
2.00E+12,13020923,[i]Care iPad Air 5 續保_1890,Care,iCPP,[i]Care iPad Air 5 續保一年期_1890,0
MMT73TA/A,13020948,Beats Studio Buds 無線藍 MMT73,Audio,Beats,Studio Buds,4990
MMT83TA/A,13020949,Beats Studio Buds 無線粉 MMT83,Audio,Beats,Studio Buds,4990
MMT93TA/A,13020950,Beats Studio Buds 無線灰 MMT93,Audio,Beats,Studio Buds,4990
MN6M3FE/A,13021295,41mm N 運動錶環 彩虹 MN6M3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MN6N3FE/A,13021296,45mm N 運動錶環 彩虹 MN6N3,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
SF8C2ZX/A,13021306,AC+ for MBA 13 M2 SF8C2,Care,ACPP+,13 MacBook Air ACPP+,5490
SF932ZX/A,13021307,AC+ for MBP 13 M2 SF932,Care,ACPP+,13 MacBook Pro ACPP+,7490
2.00E+12,13021366,[i]Care M3/M4 MBA 三年期_6151,Care,iCPP,[i]Care M3/M4 MBA 三年期_6151,0
MPU73FE/A,13021701,iPhone 14 PM 透明 MPU73,Accy,iPhone Case,iPhone 14 Pro Max,1490
MQE93FE/A,13021756,49 海洋錶帶 白色 MQE93,Accy,*Apple Watch Accy,Band 49mm Ocean Band,3100
MQEA3FE/A,13021757,49 海洋錶帶 白 加長節 MQEA3,Accy,*Apple Watch Accy,Band 49mm Ocean Band,1600
SFYT2TA/A,13021784,AC+ for iPhone 14 Plus SFYT2,Care,ACPP+,iPhone 14 Plus ACPP+,5790
SFYU2TA/A,13021785,AC+ for iPhone 14 SFYU2,Care,ACPP+,iPhone 14 ACPP+,4890
SFYV2TA/A,13021786,AC+ for iPhone 14 Pro SFYV2,Care,ACPP+,iPhone 14 Pro ACPP+,6390
SFYW2TA/A,13021787,AC+ for iPhone 14 PM SFYW2,Care,ACPP+,iPhone 14 PM ACPP+,6390
SG1L2TA/A,13021788,AC+ for AW S8 SG1L2,Care,ACPP+,AW S8 ACPP+,2590
SG1Y2TA/A,13021789,AC+ for AW Hermes SG1Y2,Care,ACPP+,AW Hermes S8 ACPP+,4790
SG282TA/A,13021790,AC+ for AW SE 2 SG282,Care,ACPP+,AW SE 2 ACPP+,1690
SG2L2TA/A,13021791,AC+ for AW S8 不鏽鋼 SG2L2,Care,ACPP+,AW S8 不鏽鋼 ACPP+,2590
SG2U2TA/A,13021792,AC+ for AW Ultra SG2U2,Care,ACPP+,AW Ultra ACPP+,3190
2.00E+12,13022651,[i]Care 15/16 Plus 一年期_4290,Care,iCPP,[i]Care 15/16 Plus 一年期_4290,0
2.00E+12,13022652,[i]Care 15/16 Plus 兩年期_5569,Care,iCPP,[i]Care 14-16 Plus 兩年期_5569,0
2.00E+12,13022654,[i]Care AW Ultra 一年期_2290,Care,iCPP,[i]Care AW Ultra 一年期_2290,0
2.00E+12,13022655,[i]Care AW Ultra 兩年期_3063,Care,iCPP,[i]Care AW Ultra 兩年期_3063,0
MN873TA/A,13022823,Apple TV 4K WiFi 64 MN873,Accy,Apple TV,Apple TV 4K 64G,4490
MN893TA/A,13022824,Apple TV 4K 乙太 128 MN893,Accy,Apple TV,Apple TV 4K 128G,4990
MQDP3TA/A,13022826,iPad 10th 巧控鍵盤 中 MQDP3,Accy,*iPad Accy,10.9 Keyboard,8790
SGFC2TA/A,13022843,AC+ for iPad 10 SGFC2,Care,ACPP+,iPad/iPad Mini ACPP+,2190
SGG22TA/A,13022844,AC+ for iPad Pro 11 4 SGG22,Care,ACPP+,iPad Pro 11 4th ACPP+,4290
SGGY2TA/A,13022845,AC+ for iPad Pro 12.9 6 SGGY2,Care,ACPP+,iPad Pro 12.9 6th ACPP+,4890
Z14J,13023194,Mac Studio M1M 1T Z14J,CPU,MAC STUDIO,Mac Studio M1M 1T,65900
SGAQ2TA/A,13023240,AC+ for MBP 14 M2 SGAQ2,Care,ACPP+,14 MacBook Pro ACPP+,8990
SGCT2TA/A,13023241,AC+ for MBP 16 M2 SGCT2,Care,ACPP+,16 MacBook Pro ACPP+,12990
SGQQ2TA/A,13023242,AC+ for Mac mini M2 SGQQ2,Care,ACPP+,Mac mini ACPP+,2990
MQLH3TA/A,13023569,Beats Studio Buds 黑金 MQLH3,Audio,Beats,Studio Buds,5990
MQLJ3TA/A,13023570,Beats Studio Buds 象牙白 MQLJ3,Audio,Beats,Studio Buds,5990
MQLK3TA/A,13023571,Beats Studio Buds 透明 MQLK3,Audio,Beats,Studio Buds,5990
SJFY2TA/A,13023743,AC+ for MBA 15 M2 SJFY2,Care,ACPP+,15 MacBook Air ACPP+,7290
SJGC2TA/A,13023744,AC+ for Mac Studio M2 SJGC2,Care,ACPP+,Mac Studio ACPP+,5290
SJGQ2TA/A,13023745,AC+ for Mac Pro M2 SJGQ2,Care,ACPP+,Mac Pro ACPP+,15490
2.00E+12,13023775,[i]Care M MBA 15 三年期_7227,Care,iCPP,[i]Care M2-M4 MBA 15 三年期_7227,0
MQTP3ZP/A,13023788,Beats Studio Pro WL 黑 MQTP3,Audio,Beats,Studio Pro,12490
MQTQ3ZP/A,13023789,Beats Studio Pro WL 藍 MQTQ3,Audio,Beats,Studio Pro,12490
MQTR3ZP/A,13023790,Beats Studio Pro WL 白 MQTR3,Audio,Beats,Studio Pro,12490
MQTT3ZP/A,13023791,Beats Studio Pro WL 棕 MQTT3,Audio,Beats,Studio Pro,12490
Z17Z,13023951,Mac Studio M2M 1T Z17Z,CPU,MAC STUDIO,Mac Studio M2M 1T CTO,82999
MT2P3TA/A,13023983,Beats Studio Buds 宇宙銀 MT2P3,Audio,Beats,Studio Buds,5990
MT2Q3TA/A,13023984,Beats Studio Buds 宇宙粉 MT2Q3,Audio,Beats,Studio Buds,5990
MT183FE/A,13025152,iPhone 15+ 矽膠殼 松柏色 MT183,Accy,iPhone Case,iPhone 15+,1590
MT193FE/A,13025153,iPhone 15+ 矽膠殼 冬藍色 MT193,Accy,iPhone Case,iPhone 15+,1590
MT1A3FE/A,13025154,iPhone 15 P 矽膠 黑色 MT1A3,Accy,iPhone Case,iPhone 15 Pro,1490
MT1D3FE/A,13025155,iPhone 15 P 矽膠 風暴藍 MT1D3,Accy,iPhone Case,iPhone 15 Pro,1490
MT1E3FE/A,13025156,iPhone 15 P 矽膠 陶土色 MT1E3,Accy,iPhone Case,iPhone 15 Pro,1490
MT1F3FE/A,13025157,iPhone 15 P 矽膠 淡粉色 MT1F3,Accy,iPhone Case,iPhone 15 Pro,1490
MT1L3FE/A,13025161,iPhone 15 P 矽膠 冬藍色 MT1L3,Accy,iPhone Case,iPhone 15 Pro,1590
MT1M3FE/A,13025162,iPhone 15 PM 矽膠 黑色 MT1M3,Accy,iPhone Case,iPhone 15 Pro Max,1490
MT1P3FE/A,13025163,iPhone 15 PM 矽膠 風暴藍 MT1P3,Accy,iPhone Case,iPhone 15 Pro Max,1490
MT1Q3FE/A,13025164,iPhone 15 PM 矽膠 陶土色 MT1Q3,Accy,iPhone Case,iPhone 15 Pro Max,1490
MT1U3FE/A,13025165,iPhone 15 PM 矽膠 淡粉色 MT1U3,Accy,iPhone Case,iPhone 15 Pro Max,1490
MT223FE/A,13025172,iPhone 15 Pro 透明殼 MT223,Accy,iPhone Case,iPhone 15 Pro,1490
MT233FE/A,13025173,iPhone 15 PM 透明殼 MT233,Accy,iPhone Case,iPhone 15 Pro Max,1490
MT4D3FE/A,13025187,iPhone 15+ 織紋殼 海洋藍 MT4D3,Accy,iPhone Case,iPhone 15+,1890
MT4F3FE/A,13025188,iPhone 15+ 織紋殼 長青色 MT4F3,Accy,iPhone Case,iPhone 15+,1890
MT4J3FE/A,13025190,iPhone 15 P 織紋殼 淺褐 MT4J3,Accy,iPhone Case,iPhone 15 Pro,1890
MT4L3FE/A,13025191,iPhone 15 P 織紋殼 桑椹 MT4L3,Accy,iPhone Case,iPhone 15 Pro,1890
MT4Q3FE/A,13025192,iPhone 15 P 織紋殼 海藍 MT4Q3,Accy,iPhone Case,iPhone 15 Pro,1890
MT4V3FE/A,13025194,iPhone 15 PM 織紋殼 黑色 MT4V3,Accy,iPhone Case,iPhone 15 Pro Max,1890
MT4W3FE/A,13025195,iPhone 15 PM 織紋殼 淺褐 MT4W3,Accy,iPhone Case,iPhone 15 Pro Max,1890
MUQX3FE/A,13025201,USB-C to L 轉接器 MUQX3,Accy,#Connector,USB-C,990
MT2H3FE/A,13025204,AirTag 織紋鑰匙圈 黑色 MT2H3,Accy,*iPhone Accy,AirTag Accy,1290
MT2J3FE/A,13025205,AirTag 織紋鑰匙圈 桑椹 MT2J3,Accy,*iPhone Accy,AirTag Accy,1290
MT2K3FE/A,13025206,AirTag 織紋鑰匙圈 海藍 MT2K3,Accy,*iPhone Accy,AirTag Accy,1290
MT2L3FE/A,13025207,AirTag 織紋鑰匙圈 淺褐色 MT2L3,Accy,*iPhone Accy,AirTag Accy,1290
MT2M3FE/A,13025208,AirTag 織紋鑰匙圈 珊瑚色 MT2M3,Accy,*iPhone Accy,AirTag Accy,1290
MT5N3FE/A,13025269,49mm 高山錶環 靛青 S MT5N3,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MT5Q3FE/A,13025270,49mm 高山錶環 靛青 M MT5Q3,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MT5R3FE/A,13025271,49mm 高山錶環 靛青 L MT5R3,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MT613FE/A,13025279,49mm 越野錶環 藍黑 S/M MT613,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MT623FE/A,13025280,49mm 越野錶環 藍黑 M/L MT623,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MUQ13FE/A,13025329,41mm 運動錶帶 驕傲版 S/M MUQ13,Accy,*Apple Watch Accy,Band 41mm Sport,1600
MUQ23FE/A,13025330,41mm 運動錶帶 驕傲版 M/L MUQ23,Accy,*Apple Watch Accy,Band 41mm Sport,1600
MUQ33FE/A,13025331,45mm 運動錶帶 驕傲版 S/M MUQ33,Accy,*Apple Watch Accy,Band 45mm Sport,1600
MUQ43FE/A,13025332,45mm 運動錶帶 驕傲版 M/L MUQ43,Accy,*Apple Watch Accy,Band 45mm Sport,1600
MUUK3FE/A,13025337,41 N 運動錶帶 純鉑金 S/M MUUK3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUUL3FE/A,13025338,41 N 運動錶帶 純鉑金 M/L MUUL3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUUN3FE/A,13025339,41 N 運動錶帶 午夜空 S/M MUUN3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUUP3FE/A,13025340,41 N 運動錶帶 午夜空 M/L MUUP3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUUR3FE/A,13025342,41 N 運動錶帶 沙漠石 M/L MUUR3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUUT3FE/A,13025343,41 N 運動錶帶 焰藍色 S/M MUUT3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUUU3FE/A,13025344,41 N 運動錶帶 焰藍色 M/L MUUU3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUUV3FE/A,13025345,41 N 運動錶帶 軍卡其 S/M MUUV3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUUW3FE/A,13025346,41 N 運動錶帶 軍卡其 M/L MUUW3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUUX3FE/A,13025347,41 N 運動錶帶 橙粉色 S/M MUUX3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUUY3FE/A,13025348,41 N 運動錶帶 橙粉色 M/L MUUY3,Accy,*Apple Watch Accy,Band 41mm Nike Sport,1600
MUV03FE/A,13025349,45 N 運動錶帶 純鉑金 S/M MUV03,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUV13FE/A,13025350,45 N 運動錶帶 純鉑金 M/L MUV13,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUV33FE/A,13025351,45 N 運動錶帶 午夜空 S/M MUV33,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUV53FE/A,13025352,45 N 運動錶帶 午夜空 M/L MUV53,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUV63FE/A,13025353,45 N 運動錶帶 沙漠石 S/M MUV63,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUV73FE/A,13025354,45 N 運動錶帶 沙漠石 M/L MUV73,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUV83FE/A,13025355,45 N 運動錶帶 焰藍色 S/M MUV83,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUV93FE/A,13025356,45 N 運動錶帶 焰藍色 M/L MUV93,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUVC3FE/A,13025357,45 N 運動錶帶 軍卡其 S/M S/M MUVC3,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUVD3FE/A,13025358,45 N 運動錶帶 軍卡其 S/M M/L MUVD3,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUVE3FE/A,13025359,45 N 運動錶帶 橙粉色 S/M MUVE3,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUVF3FE/A,13025360,45 N 運動錶帶 橙粉色 M/L MUVF3,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
SJXC2TA/A,13025361,AC+ for AW S9 SJXC2,Care,ACPP+,AW S9 ACPP+,2590
SJXD2TA/A,13025362,AC+ for AW Ultra 2 SJXD2,Care,ACPP+,AW Ultra ACPP+,3190
SJXE2TA/A,13025363,AC+ for AW Herm_s S9 SJXE2,Care,ACPP+,AW Hermes S9 ACPP+,4790
SJY32TA/A,13025364,AC+ for AW S9 不鏽鋼 SJY32,Care,ACPP+,AW S9 不鏽鋼 ACPP+,2590
SJRQ2TA/A,13025365,AC+ for iPhone 15 SJRQ2,Care,ACPP+,iPhone 15 ACPP+,4890
SJT42TA/A,13025366,AC+ for iPhone 15 Plus SJT42,Care,ACPP+,iPhone 15 Plus ACPP+,5790
SJT92TA/A,13025367,AC+ for iPhone 15 Pro SJT92,Care,ACPP+,iPhone 15 Pro ACPP+,6390
SJTJ2TA/A,13025368,AC+ for iPhone 15 PM SJTJ2,Care,ACPP+,iPhone 15 PM ACPP+,6390
MUWA3TA/A,13025609,Apple Pencil USB-C MUWA3,Accy,*iPad Accy,Apple Pencil,2690
MT0H3TA/A,13025673,AW USB-C 磁性快充線 1m MT0H3,Accy,#Cable,Apple Watch,990
SL9K2TA/A,13025704,AC+ for MBP 14 M3 SL9K2,Care,ACPP+,14 MacBook Pro ACPP+,8990
SL9L2TA/A,13025705,AC+ for MBP 14 M3P/M3M SL9L2,Care,ACPP+,14 MacBook Pro ACPP+,8990
SL9M2TA/A,13025706,AC+ for MBP 16 M3 SL9M2,Care,ACPP+,16 MacBook Pro ACPP+,12990
SLA62TA/A,13025707,AC+ for iMac M3 SLA62,Care,ACPP+,iMac ACPP+,5290
MUQ93FE/A,13026024,USB-C to Lightning 1m MUQ93,Accy,#Cable,USB-C to Lightning,590
MUQW3FE/A,13026025,Lightning to USB 1m MUQW3,Accy,#Cable,Lightning,590
MW2K3TA/A,13026043,35W 雙 USB-C 充電器 MW2K3,Accy,#Power Adapter,USB-C,1790
MWN93FE/A,13026060,iPhone 15 矽膠殼  粉紅色 MWN93,Accy,iPhone Case,iPhone 15,1590
MWNA3FE/A,13026061,iPhone 15 矽膠殼 日照色 MWNA3,Accy,iPhone Case,iPhone 15,1590
MWNC3FE/A,13026062,iPhone 15 矽膠殼 淡薄荷 MWNC3,Accy,iPhone Case,iPhone 15,1590
MWND3FE/A,13026063,iPhone 15 矽膠殼 淡藍色 MWND3,Accy,iPhone Case,iPhone 15,1590
MWNE3FE/A,13026064,iPhone 15+ 矽膠殼 粉紅色 MWNE3,Accy,iPhone Case,iPhone 15+,1590
MWNF3FE/A,13026065,iPhone 15+ 矽膠殼 日照色 MWNF3,Accy,iPhone Case,iPhone 15+,1590
MWNG3FE/A,13026066,iPhone 15+ 矽膠殼 淡薄荷 MWNG3,Accy,iPhone Case,iPhone 15+,1590
MWNH3FE/A,13026067,iPhone 15+ 矽膠殼 淡藍色 MWNH3,Accy,iPhone Case,iPhone 15+,1590
MWNJ3FE/A,13026068,iPhone 15 P 矽膠 粉紅色 MWNJ3,Accy,iPhone Case,iPhone 15 Pro,1590
MWNK3FE/A,13026069,iPhone 15 P 矽膠 日照色 MWNK3,Accy,iPhone Case,iPhone 15 Pro,1590
MWNL3FE/A,13026070,iPhone 15 P 矽膠 淡薄荷 MWNL3,Accy,iPhone Case,iPhone 15 Pro,1590
MWNM3FE/A,13026071,iPhone 15 P 矽膠 淡藍色 MWNM3,Accy,iPhone Case,iPhone 15 Pro,1590
MWNN3FE/A,13026072,iPhone 15 PM 矽膠 粉紅色 MWNN3,Accy,iPhone Case,iPhone 15 Pro Max,1590
MWNP3FE/A,13026073,iPhone 15 PM 矽膠 日照色 MWNP3,Accy,iPhone Case,iPhone 15 Pro Max,1590
MWNQ3FE/A,13026074,iPhone 15 PM 矽膠 淡薄荷 MWNQ3,Accy,iPhone Case,iPhone 15 Pro Max,1590
MWNR3FE/A,13026075,iPhone 15 PM 矽膠 淡藍色 MWNR3,Accy,iPhone Case,iPhone 15 Pro Max,1590
MWVV3TA/A,13026076,20W USB-C Adapter MWVV3,Accy,#Power Adapter,USB-C,590
SLPJ2TA/A,13026077,AC+ for MBA 13 M3 SLPJ2,Care,ACPP+,13 MacBook Air ACPP+,6290
SLPL2TA/A,13026078,AC+ for MBA 15 M3 SLPL2,Care,ACPP+,15 MacBook Air ACPP+,7290
MUW23ZP/A,13026183,Beats Solo4 WL 黑 MUW23,Audio,Beats,Solo 4,7490
MUW33ZP/A,13026184,Beats Solo4 WL 粉 MUW33,Audio,Beats,Solo 4,7490
MUW43ZP/A,13026185,Beats Solo4 WL 藍 MUW43,Audio,Beats,Solo 4,7490
MW693FE/A,13026217,擦拭布 MW693,Accy,*CPU Accy,Other,590
MW2H3TA/A,13026218,35W 雙 USB-C 小型充電器 MW2H3,Accy,#Power Adapter,USB-C,1790
MW2L3TA/A,13026219,96W USB-C Power Adapter MW2L3,Accy,#Power Adapter,USB-C,2290
MW2M3TA/A,13026220,140W USB-C Adapter MW2M3,Accy,#Power Adapter,USB-C,2990
MW5J3FE/A,13026221,Thunderbolt 4 Pro 1.8m MW5J3,Accy,#Cable,Thunderbolt,3990
MWML3FE/A,13026222,USB-C to Pencil 轉接器 MWML3,Accy,#Connector,USB-C,290
MUVW3TA/A,13026360,Beats Solo Buds 黑 MUVW3,Audio,Beats,Solo Buds,2790
MUVX3TA/A,13026361,Beats Solo Buds 紫 MUVX3,Audio,Beats,Solo Buds,2790
MUVY3TA/A,13026362,Beats Solo Buds 灰 MUVY3,Audio,Beats,Solo Buds,2790
MUW03TA/A,13026363,Beats Solo Buds 紅 MUW03,Audio,Beats,Solo Buds,2790
MX2D3TA/A,13026364,Apple Pencil Pro MX2D3,Accy,*iPad Accy,Apple Pencil Pro,4390
MWR03TA/A,13026365,Pro 11 M4 巧控鍵盤 白 MWR03,Accy,*iPad Accy,11 5th Keyboard,9890
MWR23TA/A,13026366,Pro 11 M4 巧控鍵盤 黑 MWR23,Accy,*iPad Accy,11 5th Keyboard,9890
MWR43TA/A,13026367,Pro 13 M4 巧控鍵盤 白 MWR43,Accy,*iPad Accy,12.9 7th Keyboard,11690
MWR53TA/A,13026368,Pro 13 M4 巧控鍵盤 黑 MWR53,Accy,*iPad Accy,12.9 7th Keyboard,11690
SM2A2TA/A,13026384,AC+ for iPad Air 13 1 SM2A2,Care,ACPP+,iPad Air 13 1th ACPP+,3290
SM2V2TA/A,13026385,AC+ for iPad Air 11 4 SM2V2,Care,ACPP+,iPad Air 11 4th ACPP+,2590
SM2W2TA/A,13026386,AC+ for iPad Pro 13 7 SM2W2,Care,ACPP+,iPad Pro 13 7th ACPP+,5590
SM2X2TA/A,13026387,AC+ for iPad Pro 11 5 SM2X2,Care,ACPP+,iPad Pro 11 5th ACPP+,4890
MW443ZP/A,13026478,Beats Pill 黑 MW443,Audio,Beats,Pill,5499
MW463ZP/A,13026479,Beats Pill 金 MW463,Audio,Beats,Pill,5499
MWQW3ZP/A,13026480,Beats Pill 紅 MWQW3,Audio,Beats,Pill,5499
2.00E+12,13026482,[i]Care iPad Air 13 一年_2090,Care,iCPP,[i]Care iPad Air 13 一年期_2090,0
2.00E+12,13026483,[i]Care iPad Air 13 兩年_3199,Care,iCPP,[i]Care iPad Air 13 兩年期_3199,0
2.00E+12,13026484,[i]Care iPad Pro 11 一年_3190,Care,iCPP,[i]Care iPad Pro 11 5 一年期_3190,0
2.00E+12,13026485,[i]Care iPad Pro 11 兩年_4653,Care,iCPP,[i]Care iPad Pro 11 5 兩年期_4653,0
2.00E+12,13026486,[i]Care iPad Pro 13 一年_3390,Care,iCPP,[i]Care iPad Pro 13 7 一年期_3390,0
2.00E+12,13026487,[i]Care iPad Pro 13 兩年_5445,Care,iCPP,[i]Care iPad Pro 13 7 兩年期_5445,0
MW2P3FE/A,13026707,Lightning Digital AV MW2P3,Accy,#Connector,Lightning,1490
MW2Q3FE/A,13026708,USB-C to 3.5mm 孔 轉接器 MW2Q3,Accy,EarPhone,3.5mm,290
MW2R3ZA/A,13026709,USB-C to Lightning 2m MW2R3,Accy,#Cable,USB-C to Lightning,990
MW5H3FE/A,13026710,Thunderbolt 4 Pro 3m MW5H3,Accy,#Cable,Thunderbolt,4890
MW5M3FE/A,13026711,USB-C Digital AV MW5M3,Accy,#Connector,USB-C,2190
MW653TA/A,13026712,USB-C to SD 讀卡機 MW653,Accy,#Connector,USB-C,1190
MX5J3FE/A,13026713,Lightning to USB3 Camera MX5J3,Accy,#Connector,Lightning,1290
MWTY3FE/A,13026714,EarPods For Lightning MWTY3,Accy,EarPhone,Lightning,590
MWU53FE/A,13026715,EarPods For 3.5mm MWU53,Accy,EarPhone,3.5mm,590
MTJT3TA/A,13026804,HomePod mini 午夜 MTJT3,Audio,HomePod,HomePod mini 午夜,3000
MW493FE/A,13026814,USB-C Charge Cable (1m) MW493,Accy,#Cable,USB-C,590
MW5L3FE/A,13026815,USB-C to USB Adapter MW5L3,Accy,#Connector,USB-C,590
MXN53TA/A,13026816,70W USB-C Power Adapter MXN53,Accy,#Power Adapter,USB-C,1790
MYH93FE/A,13026817,USB-C to Thunderbolt 2 MYH93,Accy,#Cable,Thunderbolt,1490
MYQT3FE/A,13026818,USB-C Charge Cable (2m) MYQT3,Accy,#Cable,USB-C,990
MYQY3ZP/A,13026819,EarPods for USB-C MYQY3,Accy,EarPhone,USB-C,590
MW5G3TA/A,13026820,Apple TV Siri 遙控器 MW5G3,Accy,Apple TV,Apple TV Accy,1790
MYE73ZP/A,13027361,iPhone 16 128GB 黑 MYE73,iPhone,iPhone 16,iPhone 16 黑,25900
MYE93ZP/A,13027362,iPhone 16 128GB 白 MYE93,iPhone,iPhone 16,iPhone 16 白,25900
MYEA3ZP/A,13027363,iPhone 16 128GB 粉 MYEA3,iPhone,iPhone 16,iPhone 16 粉,25900
MYEC3ZP/A,13027364,iPhone 16 128GB 藍 MYEC3,iPhone,iPhone 16,iPhone 16 藍,25900
MYED3ZP/A,13027365,iPhone 16 128GB 綠 MYED3,iPhone,iPhone 16,iPhone 16 綠,25900
MXVU3ZP/A,13027376,iPhone 16+ 128GB 黑 MXVU3,iPhone,iPhone 16+,iPhone 16+ 黑,29900
MXVV3ZP/A,13027377,iPhone 16+ 128GB 白 MXVV3,iPhone,iPhone 16+,iPhone 16+ 白,29900
MXVW3ZP/A,13027378,iPhone 16+ 128GB 粉 MXVW3,iPhone,iPhone 16+,iPhone 16+ 粉,29900
MXVX3ZP/A,13027379,iPhone 16+ 128GB 藍 MXVX3,iPhone,iPhone 16+,iPhone 16+ 藍,29900
MXVY3ZP/A,13027380,iPhone 16+ 128GB 綠 MXVY3,iPhone,iPhone 16+,iPhone 16+ 綠,29900
MXWN3ZP/A,13027381,iPhone 16+ 256GB 黑 MXWN3,iPhone,iPhone 16+,iPhone 16+ 黑,33400
MXWV3ZP/A,13027382,iPhone 16+ 256GB 白 MXWV3,iPhone,iPhone 16+,iPhone 16+ 白,33400
MXY13ZP/A,13027383,iPhone 16+ 256GB 粉 MXY13,iPhone,iPhone 16+,iPhone 16+ 粉,33400
MXY23ZP/A,13027384,iPhone 16+ 256GB 藍 MXY23,iPhone,iPhone 16+,iPhone 16+ 藍,33400
MXY53ZP/A,13027385,iPhone 16+ 256GB 綠 MXY53,iPhone,iPhone 16+,iPhone 16+ 綠,33400
MCFC4PA/A,13027555,Beats iPhone 16 磁吸殼 午夜黑,Accy,iPhone Case,iPhone 16,1790
MCFE4PA/A,13027556,Beats iPhone 16 磁吸殼 波濤藍,Accy,iPhone Case,iPhone 16,1790
MCFD4PA/A,13027557,Beats iPhone 16 磁吸殼 頂峰石,Accy,iPhone Case,iPhone 16,1790
MCFF4PA/A,13027558,Beats iPhone 16 磁吸殼 夕陽紫,Accy,iPhone Case,iPhone 16,1790
MCFG4PA/A,13027559,Beats iPhone 16+ 磁吸殼 午夜黑,Accy,iPhone Case,iPhone 16+,1790
MCFJ4PA/A,13027560,Beats iPhone 16+ 磁吸殼 波濤藍,Accy,iPhone Case,iPhone 16+,1790
MCFH4PA/A,13027561,Beats iPhone 16+ 磁吸殼 頂峰石,Accy,iPhone Case,iPhone 16+,1790
MCFK4PA/A,13027562,Beats iPhone 16+ 磁吸殼 夕陽紫,Accy,iPhone Case,iPhone 16+,1790
MCFL4PA/A,13027563,Beats iPhone 16P 磁吸殼 午夜黑,Accy,iPhone Case,iPhone 16 Pro,1790
MCFN4PA/A,13027564,Beats iPhone 16P 磁吸殼 波濤藍,Accy,iPhone Case,iPhone 16 Pro,1790
MCFM4PA/A,13027565,Beats iPhone 16P 磁吸殼 頂峰石,Accy,iPhone Case,iPhone 16 Pro,1790
MCFP4PA/A,13027566,Beats iPhone 16P 磁吸殼 夕陽紫,Accy,iPhone Case,iPhone 16 Pro,1790
MCFQ4PA/A,13027567,Beats iPhone 16M 磁吸殼 午夜黑,Accy,iPhone Case,iPhone 16 Pro Max,1790
MCFT4PA/A,13027568,Beats iPhone 16M 磁吸殼 波濤藍,Accy,iPhone Case,iPhone 16 Pro Max,1790
MCFR4PA/A,13027569,Beats iPhone 16M 磁吸殼 頂峰石,Accy,iPhone Case,iPhone 16 Pro Max,1790
MCFU4PA/A,13027570,Beats iPhone 16M 磁吸殼 夕陽紫,Accy,iPhone Case,iPhone 16 Pro Max,1790
MA6A4FE/A,13027571,iPhone 16 透明殼 MA6A4,Accy,iPhone Case,iPhone 16,1490
MA7D4FE/A,13027572,iPhone 16+ 透明殼 MA7D4,Accy,iPhone Case,iPhone 16+,1490
MA7E4FE/A,13027573,iPhone 16 Pro 透明殼 MA7E4,Accy,iPhone Case,iPhone 16 Pro,1490
MA7F4FE/A,13027574,iPhone 16 PM 透明殼 MA7F4,Accy,iPhone Case,iPhone 16 Pro Max,1490
MYY13FE/A,13027575,iPhone 16 矽膠殼 黑色 MYY13,Accy,iPhone Case,iPhone 16,1490
MYY53FE/A,13027577,iPhone 16 矽膠殼 吊鐘 MYY53,Accy,iPhone Case,iPhone 16,1490
MYY83FE/A,13027578,iPhone 16 矽膠殼 湖綠 MYY83,Accy,iPhone Case,iPhone 16,1490
